DBN,School Name,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
01M015,P.S. 015 Roberto Clemente,2015-16,176,14,32,33,39,23,17,18,0,0,0,0,0,0,0,83,0.472,93,0.528,9,0.051,57,0.324,105,0.597,3,0.017,2,0.011,60,0.341,16,0.091,149,84.7%,88.9%
01M015,P.S. 015 Roberto Clemente,2016-17,178,17,28,33,27,31,24,18,0,0,0,0,0,0,0,83,0.466,95,0.534,14,0.079,51,0.287,105,0.59,4,0.022,4,0.022,51,0.287,12,0.067,152,85.4%,88.2%
01M015,P.S. 015 Roberto Clemente,2017-18,190,17,28,32,33,23,31,26,0,0,0,0,0,0,0,99,0.521,91,0.479,20,0.105,52,0.274,110,0.579,2,0.011,6,0.032,49,0.258,8,0.042,161,84.7%,89.0%
01M015,P.S. 015 Roberto Clemente,2018-19,174,13,20,33,30,30,20,28,0,0,0,0,0,0,0,85,0.489,89,0.511,24,0.138,48,0.276,95,0.546,1,0.006,6,0.034,39,0.224,8,0.046,147,84.5%,88.8%
01M015,P.S. 015 Roberto Clemente,2019-20,190,14,29,28,38,33,29,19,0,0,0,0,0,0,0,94,0.495,96,0.505,27,0.142,56,0.295,96,0.505,2,0.011,9,0.047,44,0.232,17,0.089,155,81.6%,86.9%
01M019,P.S. 019 Asher Levy,2015-16,270,21,47,43,41,43,35,40,0,0,0,0,0,0,0,125,0.463,145,0.537,27,0.1,55,0.204,169,0.626,3,0.011,16,0.059,82,0.304,13,0.048,217,80.4%,62.5%
01M019,P.S. 019 Asher Levy,2016-17,271,24,37,46,47,40,43,34,0,0,0,0,0,0,0,127,0.469,144,0.531,24,0.089,51,0.188,180,0.664,1,0.004,15,0.055,88,0.325,9,0.033,207,76.4%,57.8%
01M019,P.S. 019 Asher Levy,2017-18,257,13,34,38,42,46,42,42,0,0,0,0,0,0,0,114,0.444,143,0.556,23,0.089,49,0.191,166,0.646,3,0.012,16,0.062,90,0.35,8,0.031,198,77.0%,67.9%
01M019,P.S. 019 Asher Levy,2018-19,249,10,30,39,43,41,44,42,0,0,0,0,0,0,0,114,0.458,135,0.542,14,0.056,52,0.209,156,0.627,9,0.036,18,0.072,102,0.41,8,0.032,183,73.5%,68.7%
01M019,P.S. 019 Asher Levy,2019-20,236,16,25,27,39,45,42,42,0,0,0,0,0,0,0,110,0.466,126,0.534,11,0.047,49,0.208,148,0.627,9,0.038,19,0.081,94,0.398,8,0.034,176,74.6%,70.0%
01M020,P.S. 020 Anna Silver,2015-16,581,46,82,90,98,92,81,92,0,0,0,0,0,0,0,277,0.477,304,0.523,204,0.351,46,0.079,286,0.492,21,0.036,24,0.041,123,0.212,88,0.151,353,60.8%,67.4%
01M020,P.S. 020 Anna Silver,2016-17,540,41,83,83,92,95,77,69,0,0,0,0,0,0,0,265,0.491,275,0.509,175,0.324,52,0.096,264,0.489,22,0.041,27,0.05,116,0.215,93,0.172,315,58.3%,67.7%
01M020,P.S. 020 Anna Silver,2017-18,497,34,71,82,69,89,83,69,0,0,0,0,0,0,0,244,0.491,253,0.509,147,0.296,51,0.103,264,0.531,19,0.038,16,0.032,118,0.237,86,0.173,366,73.6%,80.0%
01M020,P.S. 020 Anna Silver,2018-19,481,42,61,69,76,67,90,76,0,0,0,0,0,0,0,239,0.497,242,0.503,138,0.287,66,0.137,239,0.497,16,0.033,22,0.046,117,0.243,63,0.131,326,67.8%,75.4%
01M020,P.S. 020 Anna Silver,2019-20,464,41,63,61,71,76,65,87,0,0,0,0,0,0,0,233,0.502,231,0.498,120,0.259,58,0.125,239,0.515,16,0.034,31,0.067,102,0.22,61,0.131,352,75.9%,78.2%
01M034,P.S. 034 Franklin D. Roosevelt,2015-16,394,18,33,41,30,27,36,33,64,62,50,0,0,0,0,200,0.508,194,0.492,18,0.046,113,0.287,249,0.632,0,0,14,0.036,122,0.31,29,0.074,Above 95%,Above 95%,85.6%
01M034,P.S. 034 Franklin D. Roosevelt,2016-17,350,13,21,24,37,31,29,36,38,59,62,0,0,0,0,170,0.486,180,0.514,19,0.054,102,0.291,216,0.617,2,0.006,11,0.031,130,0.371,27,0.077,Above 95%,Above 95%,86.2%
01M034,P.S. 034 Franklin D. Roosevelt,2017-18,333,13,25,18,22,47,35,36,38,41,58,0,0,0,0,150,0.45,183,0.55,11,0.033,106,0.318,204,0.613,3,0.009,9,0.027,124,0.372,25,0.075,Above 95%,Above 95%,93.7%
01M034,P.S. 034 Franklin D. Roosevelt,2018-19,305,17,26,20,16,21,43,40,39,44,39,0,0,0,0,145,0.475,160,0.525,8,0.026,102,0.334,182,0.597,4,0.013,9,0.03,117,0.384,22,0.072,Above 95%,Above 95%,94.8%
01M034,P.S. 034 Franklin D. Roosevelt,2019-20,296,17,24,26,16,18,21,43,43,40,48,0,0,0,0,141,0.476,155,0.524,7,0.024,107,0.361,172,0.581,2,0.007,8,0.027,114,0.385,17,0.057,Above 95%,Above 95%,Above 95%
01M063,The STAR Academy - P.S.63,2015-16,203,15,47,42,35,28,19,17,0,0,0,0,0,0,0,100,0.493,103,0.507,9,0.044,40,0.197,131,0.645,2,0.01,21,0.103,65,0.32,6,0.03,172,84.7%,70.5%
01M063,The STAR Academy - P.S.63,2016-17,200,22,38,37,28,28,26,21,0,0,0,0,0,0,0,97,0.485,103,0.515,8,0.04,37,0.185,129,0.645,5,0.025,21,0.105,66,0.33,5,0.025,165,82.5%,69.0%
